Event						System Response														Source					Type

Login 						Show application main screen if successful							Operator				Assynchronous
Obtain geolocation			Request device geolocation							 				Mobile Device 			Assynchronous
App notification 			Notifies the operator about the lamppost status						Remote Server			Assynchronous
Register operator			Add operator information to database								Operator				Assynchronous
Modify lamppost				Update lamppost information to database								Operator				Assynchronous
Register lamppost			Add lamppost information to database								Operator				Assynchronous

Insert location				Show parking spots													User					Assynchronous
Obtain geolocation			Request device geolocation											Mobile Device 			Assynchronous
